Adresse,Nom,Type,Commentaire,Adresse_ABS,Fonction,Categorie
0.0,_00_P_actual_R,REAL,Puissance en kW Groupe électrogène diesel 1,%DB102.DBD0,Groupe électrogène diesel,Télémesure
4.0,_00_P_actual_measured,REAL,Puissance mesurée en kW Groupe électrogène diesel 2,%DB102.DBD4,Groupe électrogène diesel,Télémesure
8.0,_00_P_actual_measured_I,INT,Puissance mesurée en kW INT Groupe électrogène diesel 3,%DB102.DBW8,Groupe électrogène diesel,Télémesure
10.0,_00_Ua_actual,REAL,Tension de sortie Simoreg Groupe électrogène diesel,%DB102.DBD10,Groupe électrogène diesel,Télémesure
14.0,_00_P_act_basis,REAL,Valeur réelle de base pour la puissa nce Groupe électrogène diesel,%DB102.DBD14,Groupe électrogène diesel,Télémesure
18.0,_00_Gen_PT100_1,REAL,Alternateur: valeur de température 1 PT100 Groupe électrogène diesel 1,%DB102.DBD18,Groupe électrogène diesel,Télémesure
22.0,_00_Gen_PT100_2,REAL,Alternateur: valeur de température 2 PT100 Groupe électrogène diesel 2,%DB102.DBD22,Groupe électrogène diesel,Télémesure
26.0,_02_INF1_DC_Link_voltage,REAL,Unité d'alimentation 1: tension circuit intermédiaire Unité d’alimentation 1,%DB102.DBD26,Unité d’alimentation,Télémesure
30.0,_02_INF1_DC_Link_current,REAL,Unité d'alimentation 1: courant circuit intermédiaire Unité d’alimentation 1,%DB102.DBD30,Unité d’alimentation,Télémesure
34.0,_02_INF2_DC_Link_voltage,REAL,Unité d'alimentation 2: tension circuit intermédiaire Unité d’alimentation 2,%DB102.DBD34,Unité d’alimentation,Télémesure
38.0,_02_INF2_DC_Link_current,REAL,Unité d'alimentation 2: courant circuit intermédiaire Unité d’alimentation 2,%DB102.DBD38,Unité d’alimentation,Télémesure
42.0,_02_P_act_R_BR_Simoreg,REAL,Puissance active mesurée en kW à partir du Simoreg Unité d’alimentation,%DB102.DBD42,Unité d’alimentation,Télémesure
46.0,_02_BR_Ia_actual,REAL,Valeur réelle du courant Simoreg de freinage Unité d’alimentation,%DB102.DBD46,Unité d’alimentation,Télémesure
50.0,_02_BR_UN_act_Norm_R,REAL,Conversion actuelle tension du résea u Unité d’alimentation,%DB102.DBD50,Unité d’alimentation,Télémesure
54.0,_02_BR_UN_actual_R,REAL,Tension réseau du simoreg de freinag e Unité d’alimentation,%DB102.DBD54,Unité d’alimentation,Télémesure
58.0,_02_BR_FN_actual_R,REAL,Fréquence de réseau Unité d’alimentation,%DB102.DBD58,Unité d’alimentation,Télémesure
62.0,_02_Caps_actual_Power,REAL,Valeur réelle de puissance des Ultra Caps Unité d’alimentation,%DB102.DBD62,Unité d’alimentation,Télémesure
66.0,_02_Caps_actual_P_Gen,REAL,Valeur réelle de puissance alternate ur Unité d’alimentation,%DB102.DBD66,Unité d’alimentation,Télémesure
70.0,_02_Caps_workload_Invert,REAL,Charge du convertisseur Unité d’alimentation,%DB102.DBD70,Unité d’alimentation,Télémesure
74.0,_02_Caps_actual_Voltage,REAL,Tension des Caps Unité d’alimentation,%DB102.DBD74,Unité d’alimentation,Télémesure
78.0,_02_Caps_charge_state,REAL,Etat de charge des Caps Unité d’alimentation,%DB102.DBD78,Unité d’alimentation,Télémesure
82.0,_04_Setpoint_R,REAL,Valeur de consigne réduite pour pompe hydraulique Pompes et compresseurs,%DB102.DBD82,Pompes et compresseurs,Téléréglage
86.0,_04_MS2_Y_R,REAL,Générateur de rampe Pompes et compresseurs,%DB102.DBD86,Pompes et compresseurs,Télémesure
90.0,_04_MS3_Y_R,REAL,"Val. consigne pompe hydr réduite, mode mise en équipem.: relever/poser flèche Pompes et compresseurs",%DB102.DBD90,Pompes et compresseurs,Téléréglage
94.0,_04_Setpoint_Y_R,REAL,Valeur de consigne pompe hydraulique Pompes et compresseurs,%DB102.DBD94,Pompes et compresseurs,Téléréglage
98.0,_04_Temp_hydr_R,REAL,Température du système hydraulique Pompes et compresseurs,%DB102.DBD98,Pompes et compresseurs,Télémesure
102.0,_04_act_pressure_pump,REAL,Valeur réelle pression de pompe Pompes et compresseurs,%DB102.DBD102,Pompes et compresseurs,Télémesure
106.0,_04_act_angle_P1,REAL,Valeur réelle angle de pivotement pompe 1 Pompes et compresseurs 1,%DB102.DBD106,Pompes et compresseurs,Télémesure
110.0,_04_act_angle_P2,REAL,Valeur réelle angle de pivotement pompe 2 Pompes et compresseurs 2,%DB102.DBD110,Pompes et compresseurs,Télémesure
114.0,_04_act_angle_P3,REAL,Valeur réelle angle de pivotement pompe 3 Pompes et compresseurs 3,%DB102.DBD114,Pompes et compresseurs,Télémesure
118.0,_04_act_angle_P4,REAL,Valeur réelle angle de pivotement pompe 4 Pompes et compresseurs 4,%DB102.DBD118,Pompes et compresseurs,Télémesure
122.0,_07_Fuel_level_cent_R,REAL,Réservoir de carburant diesel: nivea u de remplissage en % Groupe électrogène diesel,%DB102.DBD122,Groupe électrogène diesel,Télémesure
126.0,_07_Temp_Diesel_air_R,REAL,Température moteur diesel air de sur alimentation Groupe électrogène diesel,%DB102.DBD126,Groupe électrogène diesel,Télémesure
130.0,_07_Filter_press_tower,REAL,VAR: valeur réelle surveillance de p ression du filtre Groupe électrogène diesel,%DB102.DBD130,Groupe électrogène diesel,Télémesure
134.0,_07_Temp_Diesel_water_R,REAL,Température moteur diesel radiateur à eau Groupe électrogène diesel,%DB102.DBD134,Groupe électrogène diesel,Télémesure
138.0,_11_H_height_limit_POS_R,REAL,Hauteur de levage admissible pour le levage calculée Méc. levage 1 / Méc. retenue,%DB102.DBD138,Méc. levage 1 / Méc. retenue,Télémesure
142.0,_11_H_height_limit_NEG_R,REAL,Hauteur de levage admissible calculé e pour la descente Méc. levage 1 / Méc. retenue,%DB102.DBD142,Méc. levage 1 / Méc. retenue,Télémesure
146.0,_11_H_height_perm_cent_R,REAL,Hauteur de levage admissible en pour centage Méc. levage 1 / Méc. retenue,%DB102.DBD146,Méc. levage 1 / Méc. retenue,Télémesure
150.0,_11_H_limit_POS_1_R,REAL,Montée: présélection hauteur de levage point final 1 P DWON Méc. levage 1 / Méc. retenue,%DB102.DBD150,Méc. levage 1 / Méc. retenue,Télémesure
154.0,_11_H_limit_NEG_1_R,REAL,Descente: sélection hauteur de levag e point cible 1 w C mw Méc. levage 1 / Méc. retenue,%DB102.DBD154,Méc. levage 1 / Méc. retenue,Télémesure
158.0,_11_H_limit_POS_2_R,REAL,Montée: présélection hauteur w de levage point final 2 Méc. levage 1 / Méc. retenue,%DB102.DBD158,Méc. levage 1 / Méc. retenue,Télémesure
162.0,_11_H_limit_NEG_2_R,REAL,Descente: sélection hauteur de levag e point cible 2 Méc. levage 1 / Méc. retenue,%DB102.DBD162,Méc. levage 1 / Méc. retenue,Télémesure
166.0,_11_H_limit_hoist_perc_R,REAL,Limitation de la hauteur de levage : limitation levage en pourcentage Méc. levage 1 / Méc. retenue,%DB102.DBD166,Méc. levage 1 / Méc. retenue,Télémesure
170.0,_11_H_limit_lower_perc_R,REAL,Limitation de la hauteur de levage : limitation descente en pourcentage Méc. levage 1 / Méc. retenue,%DB102.DBD170,Méc. levage 1 / Méc. retenue,Télémesure
174.0,_11_MS1_X_R,REAL,Ordre: lire et adapter valeur de con signe Méc. levage 1 / Méc. retenue 1,%DB102.DBD174,Méc. levage 1 / Méc. retenue,Télémesure
178.0,_11_MS1_Y_R,REAL,Ordre: lire et adapter valeur de con signe Méc. levage 1 / Méc. retenue 2,%DB102.DBD178,Méc. levage 1 / Méc. retenue,Télémesure
182.0,_11_MS2_Y_R,REAL,Réduire valeur de consigne vitesse pour réduction puissance Méc. levage 1 / Méc. retenue,%DB102.DBD182,Méc. levage 1 / Méc. retenue,Téléréglage
186.0,_11_MS3_Y_R,REAL,Calculer valeur consigne vitesse rot ation du méc. levage suivant la charge Méc. levage 1 / Méc. retenue,%DB102.DBD186,Méc. levage 1 / Méc. retenue,Téléréglage
190.0,_11_MS4_Y_R,REAL,Appliquer val. pré-fin de course et val. cons. commande par à-coups Méc. levage 1 / Méc. retenue,%DB102.DBD190,Méc. levage 1 / Méc. retenue,Télémesure
194.0,_11_MS5_Y_R,REAL,Impulsion changement de vitesse rédu cteur du méc. de levage Méc. levage 1 / Méc. retenue,%DB102.DBD194,Méc. levage 1 / Méc. retenue,Télémesure
198.0,_11_MS6_Y_R,REAL,Impulsion de démarrage Méc. levage 1 / Méc. retenue,%DB102.DBD198,Méc. levage 1 / Méc. retenue,Télémesure
202.0,_11_MS8_Y_R,REAL,Montée / descente jusqu’au point cible valeur de consigne réduite Méc. levage 1 / Méc. retenue,%DB102.DBD202,Méc. levage 1 / Méc. retenue,Téléréglage
206.0,_11_N_setpoint_R,REAL,Transmission de consigne à l'entraîn ement en % Méc. levage 1 / Méc. retenue,%DB102.DBD206,Méc. levage 1 / Méc. retenue,Téléréglage
210.0,_11_N_ramp_actual_R,REAL,Temps réelle de générateur de rampe % Méc. levage 1 / Méc. retenue,%DB102.DBD210,Méc. levage 1 / Méc. retenue,Télémesure
214.0,_11_V_actual_R,REAL,Vitesse du méc. levage en m/min Méc. levage 1 / Méc. retenue,%DB102.DBD214,Méc. levage 1 / Méc. retenue,Télémesure
218.0,_11_N_actual_R,REAL,Valeur réelle vitesse en t/min Méc. levage 1 / Méc. retenue,%DB102.DBD218,Méc. levage 1 / Méc. retenue,Télémesure
222.0,_11_I_actual_R,REAL,Valeur réelle du courant en A Méc. levage 1 / Méc. retenue,%DB102.DBD222,Méc. levage 1 / Méc. retenue,Télémesure
226.0,_11_P_actual_R,REAL,Valeur réelle de la puissance en kW Méc. levage 1 / Méc. retenue,%DB102.DBD226,Méc. levage 1 / Méc. retenue,Télémesure
230.0,_11_UM_actual_R,REAL,Valeur réelle tension moteur en V Méc. levage 1 / Méc. retenue,%DB102.DBD230,Méc. levage 1 / Méc. retenue,Télémesure
234.0,_11_fN_actual_R,REAL,Valeur réelle de la fréquence secteu r en Hz Méc. levage 1 / Méc. retenue,%DB102.DBD234,Méc. levage 1 / Méc. retenue,Télémesure
238.0,_11_UA_actual_R,REAL,Valeur réelle de la tension d'induit en V Méc. levage 1 / Méc. retenue,%DB102.DBD238,Méc. levage 1 / Méc. retenue,Télémesure
242.0,_11_Motor_temp_actual_R,REAL,Valeur réelle de température du moteur en °C Méc. levage 1 / Méc. retenue,%DB102.DBD242,Méc. levage 1 / Méc. retenue,Télémesure
246.0,_11_H_perm_R,REAL,Hauteur de levage admissible en m Méc. levage 1 / Méc. retenue,%DB102.DBD246,Méc. levage 1 / Méc. retenue,Télémesure
250.0,_11_H_height_actual_R,REAL,Valeur réelle de la hauteur de levag e en m (codeur absolu) Méc. levage 1 / Méc. retenue,%DB102.DBD250,Méc. levage 1 / Méc. retenue,Télémesure
254.0,_11_H_height_convert_R,REAL,Valeur réelle de la hauteur de levag e en m (entraînement) Méc. levage 1 / Méc. retenue,%DB102.DBD254,Méc. levage 1 / Méc. retenue,Télémesure
258.0,_11_V_allow_R1,REAL,Méc. levage: vitesse admissible en m /min Méc. levage 1 / Méc. retenue 1,%DB102.DBD258,Méc. levage 1 / Méc. retenue,Télémesure
262.0,_11_Press_brake_R,REAL,Pression de service pour le frein du méc. de levage Méc. levage 1 / Méc. retenue,%DB102.DBD262,Méc. levage 1 / Méc. retenue,Télémesure
266.0,_11_Grab_force,REAL,Force de traction benne pour mécanis me de fermeture Méc. levage 1 / Méc. retenue,%DB102.DBD266,Méc. levage 1 / Méc. retenue,Télémesure
