Adresse,Nom,Type,Commentaire,Adresse_ABS,Fonction,Categorie,Unité
0.0,spare_Bit_1,BOOL,Sans fonction 1,%DB101.DBX0.0,Sans fonction,Télésignal,
0.1,PLC_SLI_test_EN,BOOL,Connexion test CEC pour les courbes de charge (possible uniquement dans l’API) Sans fonction,%DB101.DBX0.1,Sans fonction,Télésignal,
2.0,PLC_SLI_test_bit_No_I,INT,"Test entrées et sorties vers CEC, va leurs 1 à 8 (possible uniquement dans API) Sans fonction",%DB101.DBW2,Sans fonction,Télémesure,VA
4.0,SLI_11_DMS_1_offset_R,REAL,"Méc.lev.1, mesure de charge jauge de contrainte DMS 1: offset DMS 1 / DMS 2 Méc. levage 1 / Méc. retenue 1",%DB101.DBD4,Méc. levage 1 / Méc. retenue,Télémesure,t
8.0,SLI_11_DMS_2_offset_R,REAL,Méc.lev.1: jauge de contrainte (DMS) 2: mesure de charge :offset DMS 1 / DMS 2 Méc. levage 1 / Méc. retenue 1,%DB101.DBD8,Méc. levage 1 / Méc. retenue,Télémesure,t
12.0,SLI_12_DMS_1_offset_R,REAL,Méc.lev.2: jauge de contrainte (DMS) 1: mesure de charge :offset DMS 1 / DMS 2 Méc. levage 2 / Méc. fermeture 1,%DB101.DBD12,Méc. levage 2 / Méc. fermeture,Télémesure,t
16.0,SLI_12_DMS_2_offset_R,REAL,Méc.lev. 2: jauge de contrainte (DMS )2: mesure de charge :offset DMS 1 / DMS 2 Méc. levage 2 / Méc. fermeture 2,%DB101.DBD16,Méc. levage 2 / Méc. fermeture,Télémesure,t
20.0,spare_1,REAL,Axe dynamométrique. offset jauge DMS 1 et DMS 2 Sans fonction,%DB101.DBD20,Sans fonction,Télémesure,
24.0,PLC_11_DMS_1_offset_R,REAL,"Méc.lev.1, mesure de charge jauge de contrainte DMS 1: offset DMS 1 / DMS 2 Méc. levage 1 / Méc. retenue 2",%DB101.DBD24,Méc. levage 1 / Méc. retenue,Télémesure,t
28.0,PLC_11_DMS_2_offset_R,REAL,Méc.lev.1: jauge de contrainte (DMS) 2: mesure de charge :offset DMS 1 / DMS 2 Méc. levage 1 / Méc. retenue 2,%DB101.DBD28,Méc. levage 1 / Méc. retenue,Télémesure,t
